convex_area,area,eccentricity,extent,inertia_tensor-0-0,inertia_tensor-0-1,inertia_tensor-1-0,inertia_tensor-1-1,major_axis_length,minor_axis_length,perimeter,solidity,orientation,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,euler_number,equivalent_diameter,bbox-0,bbox-1,bbox-2,bbox-3,real_images,mean_intensity,std_intensity,25th Percentile,75th Percentile,iqr
22929,20607,0.954660923,0.568437603,533.01586,203.8347534,203.8347534,5919.841629,307.9621696,91.6789065,870.5178567,0.898730865,-0.0377675,20607,-9.07E-11,10983857.83,27204275.69,1.96E-09,-4200422.763,-251145486.5,-4323937985,121990176.5,-47670574.53,38781889360,1.10E+11,3816112732,-47184339269,-1.46E+12,-2.94E+13,0.313139103,0.068725286,0.005626976,0.0034202,1.50E-05,0.000894784,-3.00E-07,1,161.9803917,50,930,392,1036,"[[0.74479255 0.74087098 0.73694941 ... 0.74761294 0.74761294 0.74761294]
 [0.74479255 0.74087098 0.73694941 ... 0.74761294 0.74761294 0.74761294]
 [0.74479255 0.74087098 0.73694941 ... 0.74761294 0.74761294 0.74761294]
 ...
 [0.67756039 0.67756039 0.67756039 ... 0.68148196 0.68148196 0.68148196]
 [0.67756039 0.67756039 0.67756039 ... 0.68148196 0.68148196 0.68148196]
 [0.67756039 0.67756039 0.67756039 ... 0.68148196 0.68148196 0.68148196]]",0.437482568,0.197501908,0.437482568,0.197501908,-0.23998066
1,1,0,1,0,0,0,0,0,0,0,1,-0.785398163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.128379167,59,111,60,112,[[0.49265294]],0.492652941,0,0.492652941,0,-0.492652941
3,3,0.816496581,0.75,0.222222222,-0.111111111,-0.111111111,0.222222222,2.309401077,1.333333333,3.414213562,1,0.785398163,3,1.11E-16,0.666666667,-0.222222222,1.11E-16,0.333333333,-0.111111111,0.111111111,0.666666667,0.111111111,0.111111111,-0.012345679,0.222222222,0.111111111,0.012345679,0.020576132,0.148148148,0.005486968,0.002540263,0.000101611,-5.16E-08,-7.53E-06,1.69E-22,1,1.954410048,60,734,62,736,"[[0.49237647 0.46884706]
 [0.51926196 0.49181098]]",0.493074118,0.017852421,0.493074118,0.017852421,-0.475221697
1,1,0,1,0,0,0,0,0,0,0,1,-0.785398163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.128379167,63,110,64,111,[[0.49600902]],0.49600902,0,0.49600902,0,-0.49600902
16372,15473,0.922549664,0.63408737,504.9124085,129.7183379,129.7183379,3345.286587,231.5581464,89.35328064,648.256926,0.945089177,-0.045543082,15473,-2.19E-12,7812509.697,37679415.49,6.54E-10,-2007131.843,-91734733.54,-1923931738,51761619.37,-195672787.1,16746515584,-30653080118,832025805.1,-15187146802,-1.94E+11,-7.28E+12,0.248833387,0.033978974,0.001822317,0.000646065,6.96E-07,0.000112687,8.19E-08,-2,140.3596647,64,88,313,186,"[[0.78458157 0.78066    0.78066    ... 0.78344275 0.77952118 0.77952118]
 [0.78458157 0.78066    0.78066    ... 0.78344275 0.77952118 0.77952118]
 [0.78458157 0.78066    0.78066    ... 0.77952118 0.77952118 0.77559961]
 ...
 [0.74845412 0.74845412 0.74845412 ... 0.73752275 0.73360118 0.73360118]
 [0.74845412 0.74845412 0.74845412 ... 0.73752275 0.73360118 0.73360118]
 [0.75629725 0.75629725 0.75237569 ... 0.73360118 0.73360118 0.73360118]]",0.471135593,0.199675631,0.471135593,0.199675631,-0.271459963
16415,14015,0.925037539,0.541245076,471.9340665,96.273935,96.273935,3243.89761,227.9381427,86.5881627,637.5584412,0.853792263,-0.034675615,14015,-7.71E-11,6614155.942,-22399709.1,9.99E-10,-1349279.199,-94424402.41,-2885693525,45463225,345392291.9,18893194363,3.13E+11,519744722.8,-4621036819,-5.12E+11,-2.18E+13,0.265132478,0.039307849,0.003264999,0.000527493,3.58E-07,2.10E-05,-5.92E-07,1,133.5831285,64,302,306,409,"[[0.78626314 0.78626314 0.78626314 ... 0.47220314 0.44083059 0.49013647]
 [0.78626314 0.78626314 0.78626314 ... 0.45342157 0.43830078 0.48732392]
 [0.78626314 0.78626314 0.78626314 ... 0.42597059 0.45006549 0.48732392]
 ...
 [0.72069765 0.72069765 0.72069765 ... 0.73638392 0.73638392 0.74030549]
 [0.71399333 0.71399333 0.71677608 ... 0.74030549 0.74030549 0.74422706]
 [0.71399333 0.71399333 0.71677608 ... 0.74030549 0.74030549 0.74422706]]",0.508587267,0.185294803,0.508587267,0.185294803,-0.323292465
15151,12722,0.95454293,0.51010425,431.6178447,550.3342673,550.3342673,3776.924575,248.6808012,74.12514961,881.8670991,0.839680549,-0.158931194,12722,-1.42E-11,5491042.22,37959604.44,-1.46E-09,-7001352.548,5132786.789,-5909228144,48050034.44,-386240129.6,20524942463,-1.61E+11,1148301052,-64793233514,9.25E+11,-4.49E+13,0.330808239,0.076630233,0.008148444,0.004356148,2.59E-05,0.001162628,1.74E-06,1,127.2719666,66,716,356,802,"[[0.78682863 0.78682863 0.7907502  ... 0.74814863 0.74871412 0.74871412]
 [0.78682863 0.78682863 0.7907502  ... 0.74814863 0.74479255 0.74479255]
 [0.78682863 0.78682863 0.7907502  ... 0.74422706 0.74479255 0.74479255]
 ...
 [0.72854078 0.72854078 0.72854078 ... 0.73638392 0.74030549 0.74030549]
 [0.72854078 0.72854078 0.72854078 ... 0.73638392 0.74030549 0.74030549]
 [0.72854078 0.72854078 0.72854078 ... 0.73638392 0.74030549 0.74030549]]",0.519078167,0.191924071,0.519078167,0.191924071,-0.327154097
6,6,0.790569415,1,0.25,0,0,0.666666667,3.265986324,2,6,1,0,6,0,1.5,0,0,0,0,0,4,0,1,0,0,0,0,0,0.152777778,0.004822531,0,0,0,0,0,1,2.763953196,75,531,78,533,"[[0.4811702  0.48733176]
 [0.47500157 0.47443608]
 [0.49404392 0.49207961]]",0.484010523,0.007721275,0.484010523,0.007721275,-0.476289247
12276,10459,0.969065377,0.477492695,247.459138,-89.47926956,-89.47926956,4025.659759,253.8591015,62.65348314,689.6173157,0.851987618,0.023665351,10459,2.28E-11,2588175.125,4476399.534,-9.82E-11,935863.6804,-73230965.43,951179734.2,42104375.42,-207451302.4,8158751068,-1.02E+11,1321271481,2611422168,-3.63E+11,9.33E+12,0.40855903,0.130786516,0.022112347,0.012774514,0.000213685,0.004307565,2.09E-05,1,115.3984939,77,1143,373,1217,"[[0.46073608 0.46886196 0.5512149  ... 0.70893294 0.70893294 0.71285451]
 [0.4257098  0.39209725 0.49013647 ... 0.70893294 0.70893294 0.71285451]
 [0.42400549 0.35173569 0.45537804 ... 0.70893294 0.70893294 0.71285451]
 ...
 [0.66130863 0.66130863 0.66130863 ... 0.64954392 0.64562235 0.64954392]
 [0.66130863 0.66130863 0.66130863 ... 0.64562235 0.64562235 0.64954392]
 [0.66130863 0.66130863 0.66130863 ... 0.64562235 0.64170078 0.64954392]]",0.46673456,0.197612545,0.46673456,0.197612545,-0.269122015
13133,12207,0.919412728,0.600501771,410.3518697,125.4692691,125.4692691,2599.395279,204.2180529,80.31775167,560.8599564,0.929490596,-0.057067835,12207,4.75E-11,5009165.274,20816930.01,9.03E-11,-1531603.367,-41355470.51,-936373958.9,31730818.17,-117678767.7,8170331309,-9175925200,481448410.7,-10998878037,-48745262329,-3.79E+12,0.246559118,0.032580723,0.001868363,0.000749184,8.82E-07,0.0001284,8.57E-08,1,124.669303,80,512,311,600,"[[0.7761651  0.7761651  0.7761651  ... 0.76440039 0.76440039 0.76440039]
 [0.7761651  0.7761651  0.7761651  ... 0.76440039 0.76440039 0.76440039]
 [0.7761651  0.7761651  0.7761651  ... 0.76440039 0.76440039 0.76440039]
 ...
 [0.74422706 0.74422706 0.74422706 ... 0.74814863 0.74814863 0.74814863]
 [0.74422706 0.74422706 0.74422706 ... 0.74814863 0.74814863 0.74814863]
 [0.74422706 0.74422706 0.74422706 ... 0.74814863 0.74814863 0.74814863]]",0.478924942,0.208468262,0.478924942,0.208468262,-0.27045668
